city_1,lat_1,lng_1,country_1,city_2,lat_2,lng_2,country_2,calc_distance_km,dist_km,duration_sec,estd_emissions_gm,estd_emissions_osrm_gm
Dresden,51.05,13.74,Germany,Jonkoping,57.7828,14.1606,Sweden,749.9370197364084,1283.7318,47904.3,143987.90778939042,246476.5056
Dresden,51.05,13.74,Germany,Rouen,49.4428,1.0886,France,918.7256076901572,1097.5143999999998,40338.6,176395.31667651018,210722.76479999995
Dresden,51.05,13.74,Germany,Zilina,49.2228,18.74,Slovakia,411.0746773476149,557.1917,23210.7,78926.33805074207,106980.8064
Dresden,51.05,13.74,Germany,Satu Mare,47.79,22.89,Romania,755.671572118646,999.716,39266.9,145088.94184678004,191945.472
Dresden,51.05,13.74,Germany,Klagenfurt,46.6167,14.3,Austria,494.7185354410806,812.5749000000001,29134.3,94985.95880468747,156014.3808
Dresden,51.05,13.74,Germany,Ancona,43.6169,13.5167,Italy,826.5626844710597,1238.9929,45645.4,158700.03541844347,237886.63679999998
Poznan,52.4083,16.9336,Poland,Hannover,52.3667,9.7167,Germany,491.1692201567839,525.0808000000001,19158.2,94304.49027010251,100815.5136
Poznan,52.4083,16.9336,Poland,Gdansk,54.3475,18.6453,Poland,244.02015537579285,303.0898,12304.1,46851.869832152224,58193.24160000001
Poznan,52.4083,16.9336,Poland,Bratislava,48.1439,17.1097,Slovakia,474.5131722805537,715.6656999999999,26998.9,91106.52907786632,137407.81439999997
Poznan,52.4083,16.9336,Poland,Kaliningrad,54.7003,20.4531,Russia,345.57218274731053,457.7843,19642.2,66349.85908748362,87894.58559999999
Poznan,52.4083,16.9336,Poland,Tallinn,59.4372,24.7453,Estonia,921.1084818993552,1149.1336,57159.6,176852.8285246762,220633.65119999996
Poznan,52.4083,16.9336,Poland,Zurich,47.3744,8.5411,Switzerland,821.9311534495978,1094.4679,39422.3,157810.78146232278,210137.83680000002
Poznan,52.4083,16.9336,Poland,Sarajevo,43.8564,18.4131,Bosnia and Herzegovina,957.2083022364648,1421.1166,56973.5,183783.99402940122,272854.3872
Poznan,52.4083,16.9336,Poland,Szczecin,53.4325,14.5481,Poland,196.7957644094623,271.37420000000003,11002.1,37784.78676661676,52103.84640000001
Poznan,52.4083,16.9336,Poland,Bologna,44.4939,11.3428,Italy,971.68581909444,1382.2226,50563.0,186563.6772661325,265386.7392
Poznan,52.4083,16.9336,Poland,Brno,49.1925,16.6083,Czechia,358.4729806012856,591.8876,22465.5,68826.81227544683,113642.4192
Poznan,52.4083,16.9336,Poland,Kaunas,54.8972,23.8861,Lithuania,536.3529049797046,718.6149,29406.4,102979.75775610328,137974.0608
Poznan,52.4083,16.9336,Poland,Novi Sad,45.2542,19.8425,Serbia,823.5666083385559,1196.6267,44217.9,158124.78880100272,229752.32640000002
Poznan,52.4083,16.9336,Poland,Vinnytsia,49.2333,28.4833,Ukraine,885.928528933361,1156.2863,51847.4,170098.2775552053,222006.9696
Poznan,52.4083,16.9336,Poland,Malmo,55.6058,13.0358,Sweden,437.9991008460954,1045.4749,38582.4,84095.82736245032,200731.18079999997
